userId,movieId,rating,timestamp
1,4815,3.0,964982400.0
1,345,4.0,964983793.0
1,386,4.0,964981855.0
1,344,2.0,964983393.0
1,409,3.0,964983414.0
1,521,4.0,964983393.0
1,15995,3.0,964983536.0
1,8186,2.0,964983546.0
1,534,4.0,964982462.0
1,2986,2.0,964983094.0
1,16015,5.0,964983414.0
1,4484,2.0,964982588.0
1,8436,4.0,964983393.0
1,8360,4.0,964983414.0
1,3151,5.0,964983393.0
1,8138,3.0,964983426.0
1,2259,5.0,964983536.0
2,427122,3.0,1445714974.0
3,8366,4.0,1306463631.0
3,4106,4.5,1306464054.0
3,6160,5.0,1306463770.0
3,2251,5.0,1306463708.0
3,14592,4.5,1306464021.0
3,89877,5.0,1306463670.0
3,34851,4.5,1306463993.0
3,8424,5.0,1306463815.0
4,345,5.0,964539986.0
4,344,4.0,964539961.0
4,395,4.0,964539986.0
4,662,4.0,1007569465.0
5,8151,3.0,847435292.0
6,3938,5.0,845553875.0
6,6710,4.0,845555454.0
6,5278,4.0,845554584.0
6,3557,3.0,845554931.0
6,4769,3.0,845553586.0
6,8151,3.0,845553283.0
6,6668,3.0,845553875.0
6,4808,3.0,845555071.0
6,8666,3.0,845555046.0
6,5186,3.0,845554962.0
6,4200,3.0,845554397.0
6,4772,3.0,845554551.0
6,21105,3.0,845554224.0
6,345,4.0,845553174.0
6,12156,3.0,845555024.0
6,1165601,3.0,845556462.0
6,5909,3.0,845555656.0
6,6550,3.0,845555675.0
6,14493,3.0,845556241.0
7,345,5.0,1106635912.0
7,344,5.0,1106635496.0
7,395,4.5,1106635648.0
7,832,1.5,1106635745.0
7,64187,4.0,1106636098.0
8,8151,5.0,839463509.0
8,345,4.0,839463470.0
9,7449,2.0,1044656650.0
9,25121,2.0,1044656716.0
9,95341,2.0,1044656716.0
9,165229,1.0,1044657318.0
9,6473,2.0,1044657285.0
10,395,0.5,1455356388.0
10,420224,3.0,1455356987.0
11,345,5.0,902155102.0
13,3728,4.0,987457086.0
13,332380,4.0,987895952.0
13,879,4.0,987895720.0
13,630,4.0,987896183.0
13,686,4.0,987895720.0
14,345,4.0,835441086.0
15,406,5.0,1510572775.0
15,386,5.0,1510572684.0
15,5198,3.0,1299425144.0
15,395,3.0,1510571764.0
15,1574,4.0,1510572526.0
15,588,3.5,1510572486.0
15,494,5.0,1510571736.0
15,577,3.5,1510571682.0
15,195524,3.5,1510572810.0
15,467099,3.0,1510572894.0
15,261636,3.5,1510573234.0
16,345,3.0,1377476977.0
16,386,4.0,1377477839.0
16,344,3.0,1377477594.0
16,2918,4.0,1377476629.0
16,395,3.5,1377477612.0
17,345,4.5,1305696461.0
17,409,4.0,1322628838.0
17,395,4.0,1305696835.0
18,4815,3.5,1455735732.0
18,345,4.5,1455050067.0
18,386,4.0,1455050629.0
18,344,4.5,1455050177.0
18,32251,2.5,1456875333.0
18,395,4.5,1455209891.0
18,5622,4.0,1455231488.0
18,5932,2.0,1455231603.0
18,804,4.0,1455617626.0
18,5002,0.5,1455050979.0
18,5052,3.5,1455049881.0
18,64187,3.5,1455050859.0
18,94654,1.0,1455749474.0
18,81845,4.0,1464994729.0
18,195718,3.5,1478632335.0
19,15101,1.0,965705347.0
19,4815,2.0,965704974.0
19,6710,2.0,965712048.0
19,4769,2.0,965703915.0
19,8151,3.0,965704952.0
19,6668,1.0,965705240.0
19,3787,2.0,965705076.0
19,4808,3.0,965705097.0
19,8666,2.0,965703973.0
19,5186,2.0,965704974.0
19,4935,3.0,965705059.0
19,6226,2.0,965703885.0
19,12156,2.0,965705362.0
